Gene_Id	CP08174_T1R_T-ENSEMBL	CP09800_T1R_T-ENSEMBL	CP07805_T1R_T-ENSEMBL	CP07552_T1R_T-ENSEMBL	CP06649_T1R_T-ENSEMBL	CP10449_T1R_T-ENSEMBL	CP07152_T1R_T-ENSEMBL
STXBP3	4.44	4.03	4.3	4.58	4.7	5.33	3.73
STXBP4	3.76	4.62	3.17	5.55	4.54	3.34	1.79
STXBP5	5.37	5.97	3.4	5.66	4.84	4.05	3.48
STXBP5L	3.18	5.71	0.16	5.32	2.44	0.2	0.01
STXBP6	1.96	4.9	0.99	1.01	1.32	0.68	0.79
STYK1	3.73	2.58	1.61	2.57	0.94	3.13	0.86
STYX	1.29	1.72	2.32	2.2	2.36	1.8	1.3
STYXL1	4.73	4.45	5.22	3.81	4.91	5.36	4.93
STYXL2	3.29	1.06	0.08	0.06	0.77	0.41	0.01
SUB1	6.79	6.63	6.03	9.67	8.08	6.64	6.01
SUCLA2	5.38	5.21	4.08	5.15	5.32	5.3	4.56
SUCLG1	5.4	4.88	4.97	5.11	6.44	5.72	5.04
SUCLG2	3.67	3.77	5.03	4.39	6.22	5.11	4.49
SUCNR1	1.47	0.53	0.5	3.63	0.31	0.97	0.51
SUCO	5.51	5.84	4.7	5.45	5.56	5.31	3.88
SUDS3	4.68	5.97	3.5	3.95	3.94	5.82	3.69
SUFU	3.49	2.57	2.34	2.42	2.22	2.99	2.53
SUGCT	3.26	2.4	3.74	1.43	2.82	1.94	1.45
SUGP1	8.02	5.74	3.05	3.4	4.4	4.87	2.88
SUGP2	6.69	6.66	3.59	5.24	6.18	5.18	4.14
SUGT1	4.01	5.12	4.04	5.29	5.71	6.71	4.66
SULF1	4.19	6.76	6.32	7.83	3.9	5.85	7.55
SULF2	6.32	4.53	5.18	4.9	3.45	6.72	5.49
SULT1A1	3.39	5.93	5.81	2.24	3.69	4.45	3.78
SULT1A2	1.99	1.18	2.64	0.54	0.72	0.25	0.82
SULT1A3	7.36	6.91	5.74	5.83	5.51	6.44	5.74
SULT1A4	4.72	3.15	2.78	3.51	2.26	2.74	2.62
SULT1B1	1.51	0.03	2.04	0.1	0.19	1.37	0.98
SULT1C2	4.74	4.07	0.83	0.88	5.02	0.8	2.58
SULT1C3	1.43	0.38	0.06	0	0.42	0.16	0.06
SULT1C4	2.25	1.36	0.6	0.93	1.22	0.72	0.46
SULT1E1	1.44	0.77	1.9	0.01	0.48	0.44	0.42
SULT2A1	6.96	0.33	4.92	0.01	0.06	1.85	3.44
SULT2B1	3.93	3.79	3.77	0.28	0.41	4.14	1.14
SULT4A1	3.22	2.47	0.33	1.12	0.04	0.21	0
SULT6B1	2.3	0.61	0	0	0.18	0	0
SUMF1	4.01	2.94	3.92	2.03	3.92	4.94	3.68
SUMF2	5.87	5.94	5.5	5.18	4.69	6.54	4.95
SUMO1	4.88	5.08	5.76	7.52	8.34	6.35	5.46
SUMO2	6.25	8.22	7.94	9.36	9.58	8.23	6.82
SUMO3	4.91	4.46	3.22	2.78	3.7	3.52	2.64
SUMO4	2.23	2.3	1.35	2	2.44	1.43	1.2
SUN1	7.83	7.45	6.25	6.55	6.3	8.12	5.28
SUN2	6.95	6.18	4.57	4.08	4.31	7.42	4.09
SUN3	2.99	0.46	0.28	0	0.24	0.96	0
SUN5	2.33	1.08	0	0.03	0.3	0.96	0
SUOX	5.97	5.05	4.64	4.53	3.76	4.19	3.13
SUPT16H	5.24	7.04	5.07	6.63	5.77	5.36	4.09
SUPT20H	5.14	6.15	3.97	5.64	6.84	5.82	4.51
SUPT20HL1	2.3	0.39	0.12	0.01	0.69	0.29	0.01
SUPT20HL2	2.67	0.84	0.04	0.07	0.59	0.34	0.03
SUPT3H	3.48	3.14	2.01	3.78	2.3	2.94	2.81
SUPT4H1	4.79	3.42	4.78	5	4.81	6.2	4.13
SUPT5H	7.45	6.56	4.86	6.33	6.83	6.64	5.33
SUPT6H	6.09	6.1	5.53	6.55	7.36	6.53	4.76
SUPT7L	4.89	5.18	3.6	4.13	3.3	4.17	2.98
SUPV3L1	5.94	5.19	4.11	4.34	4.35	5.62	3.89
SURF1	6.28	5	5.07	3.77	5.4	5.09	4.7
SURF2	5.7	5.66	2.74	2.54	4.68	4.77	2.76
SURF4	8.59	7.26	7.38	6.06	6.32	8.3	5.92
SURF6	6.15	4.61	1.1	1.88	2.67	3.92	1.5
SUSD1	5.63	4.06	2.92	3.36	3.9	5.07	2.96
SUSD2	3.38	3.25	4.48	1.12	0.41	3.48	1.11
SUSD3	4.09	1.14	0.23	1.12	0.14	2.48	1.41
SUSD4	3.38	3.28	1.82	0.55	2.33	4.94	0.86
SUSD5	3.16	0.65	0.12	0.15	1.04	0.44	0.15
SUSD6	5.44	6.75	4.12	4.78	4.25	5.05	3.91
SUV39H1	3.63	2.87	1.2	1.17	1.74	2.65	1.2
SUV39H2	4.43	4.65	1.75	4.4	3.18	4.04	2.21
SUZ12	4.23	5.27	3.38	4.89	6.38	4.34	3.43
SV2A	3.26	1.26	0.5	2.51	0.24	1.47	0.28
SV2B	2.66	5.07	0.31	4.46	0.19	0.28	0.21
SV2C	3.16	1.06	0.01	0.01	0.42	0.1	0.07
SVBP	3.33	3.53	1.9	2.69	2.4	3.52	1.98
SVEP1	4.16	1.56	1.26	1.24	0.53	1.77	3.02
SVIL	4.44	4.6	5.04	4.88	4.97	6.79	3.89
SVIP	2.26	4.2	3.47	3.79	4.55	3.17	1.74
SVOP	2.23	1.64	0.34	0.01	0.19	0.04	0
SVOPL	2.43	0.71	0.38	0.28	0.28	1.28	0.37
SWAP70	3.88	3.46	3.72	4.17	4.87	3.95	2.86
SWI5	6.1	4.31	3.34	2.72	3.71	4.56	2.8
SWSAP1	4.73	3.08	0.92	0.45	1.67	1.74	0.94
SWT1	3.39	2.56	1.5	2.26	3.34	2.61	1.74
SYAP1	4.83	2.93	3.65	4.87	5.62	4.95	2.48
SYBU	4.5	3.92	3.12	2.15	5.55	4.12	3.05
SYCE1	2.76	0.57	0.11	0.03	0.12	0.51	0
SYCE1L	2.74	2.11	0	0.5	0.25	1.58	0.14
SYCE2	3.71	2.53	0.08	1.05	1.85	0.5	0.73
SYCE3	3.58	1.19	0.65	0.5	0.87	1.4	0.26
SYCN	4.99	1.42	0.49	0	0	1.7	0
SYCP1	2.5	0.32	0.21	0.01	0.57	0.24	0.04
SYCP2	2.08	0.55	3.57	2.33	6.06	1.08	1.96
SYCP2L	1.48	0.45	0.21	0.83	0.72	0.12	0.41
SYCP3	3.73	2.97	2.65	1.75	4.28	3.34	1.82
SYDE1	4.96	2.25	0.91	0.9	0.87	3.15	0.71
SYDE2	3.86	2.23	2.05	2.41	2.08	1.78	1.35
SYF2	5.1	4.83	4.48	5.02	6.89	6	4.68
SYK	4.06	5.45	2.03	3.4	1.92	4.48	2.23
SYMPK	7.81	7.73	5.55	6.43	5.89	7.43	5.59
SYN1	3.69	3.79	1.1	2.4	0.82	3.4	0.6
SYN2	3.22	5.44	0.15	2.66	0.14	1.47	0.06
SYN3	4.13	3.24	0.08	1.12	0.62	1.88	0.12
SYNC	4.31	1.45	1.45	0.91	1.9	2.09	1.9
SYNCRIP	6.24	6.43	5.67	7.78	7.86	6.29	6
SYNDIG1	4.45	2.44	0.04	0.21	0.16	0.31	0.34
SYNDIG1L	2.13	0.19	0.01	0.01	0.07	0.32	0
SYNE1	7.2	5.83	4.91	5.66	4.5	5.22	5.48
SYNE2	6.92	8.42	6.15	7.99	8.24	6.72	6.65
SYNE3	3.4	3.6	1.12	0.76	0.76	2.33	1.38
SYNE4	4.24	3.69	1.06	0.82	1.93	3.23	1.43
SYNGAP1	6.56	6.07	2.9	4.46	5.09	4.39	3.6
SYNGR1	5.31	2.79	1.21	0.4	2.27	2.36	0.71
SYNGR2	3.66	5.69	5.26	4.87	5.13	8.1	4.49
SYNGR3	4.3	2.59	0.12	0.2	0.45	0.71	0
SYNGR4	4.17	4.1	0.06	0.03	0.61	1.29	0.19
SYNJ1	5.13	5.73	3.35	3.98	3.99	3.27	2.02
SYNJ2	4.08	4.88	3.03	4.29	5.66	3.97	3.64
SYNJ2BP	2.31	1.94	1.98	2.41	3	0.2	1.3
SYNJ2BP-COX16	4.91	5.05	2.26	2.11	2.24	4.43	1.37
SYNM	4.34	2.68	2.45	4.37	4.66	1.8	3.15
SYNPO	8.05	6.09	6.98	7.64	4.19	7.27	5.87
SYNPO2	3.77	3.52	2.05	3.6	1.45	2.24	2.91
SYNPO2L	2.92	1.11	0.18	0.32	0.2	0.46	0.03
SYNPR	2.44	1.14	0.15	0.29	0.7	1.3	0.14
SYNRG	5.44	5.99	4.2	5.08	5.72	5.53	4.07
SYP	5.18	4.74	0.39	3.46	0.54	1.34	0.23
SYPL1	5.42	5.4	6.14	4.53	5.71	6.21	4.99
SYPL2	3.02	0.3	0.11	0.07	0.07	0.18	0.16
SYS1	4.93	4.47	2.92	2.8	2.93	4.01	2.69
SYS1-DBNDD2	0.3	1.29	0.21	0.93	0.2	0	0.49
SYT1	2.01	6.38	1.55	6.73	1.65	4.59	1.25
SYT10	2.28	0.54	0.19	1.61	1.29	0.45	0.04
SYT11	1.98	3.11	0.51	2.13	0.43	0.64	1.16
SYT12	2.43	1.27	1.37	0.01	0.74	4.18	0.59
SYT13	2.05	5.14	0.48	2.59	3.67	3.4	2.08
SYT14	3.09	0.82	0.12	4.72	1.25	1.55	0.04
SYT15	1.25	1.83	0.21	0.16	0.23	0.01	0.1
SYT16	2.64	0.78	0.43	0.04	0.61	0.23	0.06
SYT17	3.45	6.05	3.18	5.07	3.59	4.2	2.14
SYT2	1.04	0.95	0.06	0.12	0.03	0.19	0
SYT3	4.04	0.72	0.11	0	0.14	0.26	0.03
SYT4	2.69	7.82	0.45	5.7	1.29	0.16	0.06
SYT5	4.06	5.35	0.71	1.01	0.55	1.77	0
SYT6	3	0.88	0.18	0.14	0.26	0.43	0.03
SYT7	4.9	7.35	2.88	4.43	4.48	2.91	2.82
SYT8	3.42	0.64	2.86	0.01	0.14	6.42	0.1
SYT9	1.95	0.44	0.45	0	0.25	0.26	0.19
SYTL1	4.88	6.12	3.19	1.87	2.1	5.97	2.42
SYTL2	6.81	4.38	4.26	5.1	5.87	3.63	3.96
SYTL3	2.26	2.51	1.06	1.76	1.07	2.43	1.07
SYTL4	3.02	4.3	2.2	2.33	4.41	3.66	2
SYTL5	1.48	0.41	1.3	0.08	0.28	1.3	0.46
SYVN1	6.73	6.93	5.98	5.49	5.11	6.36	5.02
SZRD1	7.13	5.96	4.1	3.75	4.92	5.69	3.92
SZT2	6.89	5.54	4.13	4.04	3.89	6.04	3.27
TAAR1	3.17	3.55	0.21	4.42	0.96	0.12	0
TAAR2	2.82	0.76	0.1	0.26	0.93	0.26	0.03
TAAR5	3.92	1.12	0.06	0	0.38	0.51	0
TAAR6	3.35	1.15	0.29	0.18	1.4	0.14	0.32
TAAR8	3.42	0.7	0.06	0.24	1.08	0.39	0
TAAR9	2.36	0.12	0	0	0.54	0.5	0
TAB1	4.92	3.89	3.08	2.03	2.98	4.05	1.43
TAB2	6.28	6.15	5.83	7.2	7.85	6.21	5.42
TAB3	4.14	3.88	3.43	3.37	5.29	3.89	2.72
TAC1	1.34	1.05	0	0.19	0.23	0	0.16
TAC3	2.04	1	0.08	0	0.62	0.2	0.11
TAC4	3.1	4.34	1.74	1.41	1.84	1.61	1.45
TACC1	6.93	6.89	4.63	5.94	7.85	5.8	6.09
TACC2	6.32	5.15	4.55	5.33	5.46	5.45	4.65
TACC3	7.41	6.73	3.51	4.64	5.4	6.96	3.24
TACO1	3.71	4.13	3.53	3.97	4.1	3.58	3.39
TACR1	3.03	2.79	0.43	0.44	3.51	1	0.37
TACR2	2.78	0.81	0.26	0.07	0.21	1.37	0.16
TACR3	1.98	0.16	0	0.01	0.3	0.06	0
TACSTD2	3.94	1.43	4.59	0.19	2.63	6.26	2.13
TADA1	3.15	3.7	2.66	2.83	3.47	3.07	1.79
TADA2A	4.74	6.03	3.62	5.01	5.5	4.74	3.22
TADA2B	4.79	3.67	1.73	2.74	3.89	4.69	2.08
TADA3	5.06	4.69	2.61	2.58	3.54	5.94	3.21
TAF1	6.25	6.46	4.79	5.85	7.29	5.04	5.52
TAF10	7.14	6.45	4.87	5.62	5.44	6.88	4.64
TAF11	4.31	2.57	2.38	4.2	4.95	2.92	3.1
TAF11L10	1.63	0.04	0	0	0.03	0.04	0
TAF11L12	0.1	0	0	0	0	0	0
TAF11L13	0.32	0	0	0	0	0	0
TAF11L14	0	0	0	0	0	0	0
TAF11L2	0	0	0	0	0	0	0
TAF11L3	0	0	0	0	0	0.04	0
TAF11L4	0	0.04	0	0	0.03	0	0
TAF11L5	1.63	0.04	0	0	0.03	0.04	0
TAF11L6	0	0.04	0	0	0.03	0.04	0
TAF11L7	1.63	0.04	0	0	0.03	0.04	0
TAF11L8	0	0	0	0	0	0	0
TAF11L9	0	0.04	0	0	0	0.04	0
TAF12	2.96	2.63	2.58	3.48	2.88	2.9	1.87
TAF13	3.89	2.54	3.69	3.48	3.99	4.02	2.89
TAF15	7.11	7.96	7.51	8.81	9.48	6.86	6.64
TAF1A	3.22	2.78	2.82	3.92	3.12	3.55	2.39
TAF1B	4.17	3.83	3.11	4.06	4.15	4.28	2.78
TAF1C	5.87	4.17	2.85	2.22	1.9	4.76	2.1
TAF1D	5.42	5.96	4.34	5.85	4.83	5.74	4.81
TAF1L	3.1	1.49	0.68	0.58	1.64	0.81	0.38
TAF2	5.8	6.8	5.95	6.69	6.66	4.96	5.1
TAF3	3.64	3.99	1.33	2.54	2.49	2.97	1.41
TAF4	4.23	5.21	2.21	3.35	3.64	3.57	2.45
TAF4B	3.81	3.93	1.61	1.11	2.09	2.44	1.69
TAF5	3.06	2.27	0.76	1.9	1.91	2.14	1.01
TAF5L	5.25	5.29	2.3	2.85	2.45	4.64	2.28
TAF6	6.39	7.05	3.89	4.2	3.89	5.86	3.33
TAF6L	5.05	4.32	2.61	2.94	2.56	3.27	2.42
TAF7	4.88	6.47	4.15	5.51	5.51	5.28	4.13
TAF7L	1.8	0.06	0.07	0.46	0.77	0.45	0.18
TAF8	6.08	4.28	2.82	4.21	4.54	3.79	4.23
TAF9	5.64	4.98	3.8	4.34	4.97	5.13	3.18
TAF9B	3.41	4.8	2.57	3.85	5.45	3.21	2.39
TAFA1	3.52	4.9	0	0	3	1.45	0
TAFA2	1.87	2.15	0.11	0.36	0.3	0.92	0.16
TAFA3	2.28	0.33	0	0	0	0.58	0.03
TAFA4	2.51	0.33	0.11	0.03	0.04	0.66	0.04
TAFA5	2.37	1.95	0.33	0.59	1.5	1.93	0.37
TAGAP	3.12	1.25	1.16	2.06	0.74	2.67	2.14
TAGLN	6.26	6.89	6.57	7.37	5.09	6.67	7.74
TAGLN2	7.46	7.8	6.06	5.94	7.24	10.54	6.11
TAGLN3	2.87	4.71	0.44	3.23	0.43	3.28	0.33
TAL1	2.5	0.3	0.24	0.12	0.69	0.54	0.26
TAL2	2.94	1.71	0	0.11	0.75	0.23	0
TALDO1	5.9	6.69	7.2	6.99	7.54	7.59	5.99
TAMALIN	5.49	4	1.56	2.81	2.08	2.54	1.55
TAMM41	4.64	4.35	2.95	2.95	4.25	4.38	3.06
TANC1	4.44	4.28	2.73	3.46	4.93	3.72	3.41
TANC2	5.45	7.48	4.73	5.2	3.37	6.43	2.84
TANGO2	4.6	3.98	3.39	2.48	4.5	4.82	3.1
TANGO6	3.79	3.66	3.02	2.87	2.76	3.62	2.27
TANK	5.89	4.91	5.99	6.33	5.88	5.87	5
TAOK1	6	7.01	5.64	7.23	7.46	7.17	5.28
TAOK2	6.11	5.31	2.67	3.25	3.16	4.22	2.76
TAOK3	4.87	4.02	5.46	5.07	5.28	4.97	4.29
TAP1	6.18	5.86	4.37	5.29	7.57	5.78	7.42
TAP2	6.47	5.26	4.11	4.44	6.42	5.69	6.32
TAPBP	7.4	6.56	3.91	4.42	5.76	7.1	4.94
TAPBPL	4.83	6.07	2.97	3.56	2	5.12	4.03
TAPT1	5.06	5.41	4.4	5.24	5.84	5	3.66
TARBP1	4.79	4.91	3.72	4.7	3.78	4.6	3.37
TARBP2	5.25	4.51	1.85	1.99	1.56	4.58	1.82
TARDBP	7.08	7.6	7.53	9.04	8.29	6.7	7.12
TARM1	2.81	0.75	0.06	0.06	0.24	0	0.03
TARS1	6.99	6.67	4.78	6.61	6.63	6.02	5.65
TARS2	5.26	6.22	3.59	3.5	3.78	5.06	2.81
TARS3	2.63	3.74	2.43	3.51	3.13	2.42	2.37
TAS1R1	3.58	1.27	0.07	0.03	0.28	0.21	0.06
TAS1R2	4.13	0.8	0.03	0	0.69	0.68	0
TAS1R3	4.3	3.16	0.37	0.04	0.26	2.77	0.31
TAS2R1	2.62	0.71	0.04	0	0.44	0.2	0.04
TAS2R10	3.48	2.63	0.49	2.07	0.87	1.22	0.81
TAS2R13	3.71	2.38	1.07	2.51	1.18	1.83	1.39
TAS2R14	4.04	2.7	0.7	2	0.98	2.28	1.25
TAS2R16	3.33	1.36	0	0	0.55	0.28	0.08
TAS2R19	3.98	3.08	2.27	3.58	2.24	2.31	2.53
TAS2R20	3.23	2.65	1.63	2.7	1.59	1.28	1.4
TAS2R3	2.75	4.03	1.57	2.92	1.88	2.19	1.29
TAS2R30	3.57	2.98	3.31	4.87	2.94	2.07	3.86
TAS2R31	3.09	2.42	3.21	4.56	3.05	1.43	3.42
TAS2R38	2.87	2.64	0.18	0.71	0.77	1.25	0.07
TAS2R39	3.46	2.4	0.25	1.24	1.76	1.1	0.18
TAS2R4	0.99	1.66	0.39	1.03	0.43	0.75	0.25
TAS2R40	3.8	2.73	0.45	0.54	1.71	1.28	0.06
TAS2R41	3.33	1.97	0.28	0.28	1.01	0.86	0.37
TAS2R42	3.44	1.52	0.41	1.28	0.45	0.55	0.31
TAS2R43	3.83	0	1.59	3.69	3.37	1.9	2.51
TAS2R46	2.75	2.63	2.49	3.92	2.44	0.99	2.72
TAS2R5	3.5	4.34	1.46	2.68	1.99	1.72	1.45
TAS2R50	4.15	2.22	1.33	2.55	1.57	0.81	1.67
TAS2R60	3.18	1.23	0.21	0.29	0.5	0.29	0.36
TAS2R7	3.51	1.57	0.04	0.53	0.42	0.14	0.16
TAS2R8	2.88	1.05	0.04	1.01	0.18	0.51	0.1
TAS2R9	2.94	1.33	0.1	0.54	0.16	0.48	0.04
TASOR	5.08	5.8	4.66	4.95	6.51	5.33	4.4
TASOR2	5.34	5.41	3.6	5.06	4.54	5.36	3.63
TASP1	4.04	5.81	3.35	4.9	3.18	3.95	3.68
TAT	4.06	1.32	6.04	0.11	0.56	1.74	3.21
TATDN1	4.98	4.65	4.73	5.1	5.57	5.41	5.11
TATDN2	3.72	1.24	1.57	1.52	1.14	3.79	1.66
TATDN3	3.79	3.96	3	2.99	3.19	3.1	2.04
TAX1BP1	7.12	6.06	6.04	5.84	7.31	6.98	5.84
TAX1BP3	5.39	3.38	2.68	2.04	2.51	5.01	2.44
TAZ	6.69	5.9	4.79	5.94	5.52	5.48	4.59
TBATA	3.06	1.08	0.1	0	0.57	0.58	0.18
TBC1D1	6.19	6.29	4.34	6.45	5.72	6.02	4.47
TBC1D10A	4.75	2.14	2.37	0.98	1.34	4.67	1.86
TBC1D10B	5.11	5.2	2.33	3.51	3.34	4.31	2.64
TBC1D10C	5.44	2.3	0.77	1.29	0.28	2.68	1.26
TBC1D12	3.02	2.27	1.23	1.88	2.1	1.93	1.23
TBC1D13	6.31	4.98	3.65	3.31	4.22	4.97	3.53
TBC1D14	5.21	3.77	4.3	4.45	5.57	5.8	3.83
TBC1D15	5.35	6.3	5.5	6.53	7.13	5.58	4.76
TBC1D16	3.91	4.28	1.44	2.64	2.77	4.26	1.49
TBC1D17	6.4	5.49	3.31	3	2.82	5.12	2.92
TBC1D19	4.15	3.57	2.27	4.34	4.61	3.08	2.19
TBC1D2	4.36	3.02	2.53	1.14	1.6	5.14	1.66
TBC1D20	3.95	4.73	2.67	2.5	2.96	3.73	2.36
TBC1D21	1.46	0.14	0	0	0	0	0
TBC1D22A	5.31	4.88	4.25	3.79	4.23	6.08	3.43
TBC1D22B	4	3.32	1.49	2.34	3.06	2.72	2.02
TBC1D23	4.23	4.54	4.13	4.69	4.81	5.49	3
TBC1D24	3.4	4.36	2.01	2.34	2.54	2.83	1.52
TBC1D25	4.6	3.54	2.56	2.24	2.54	3.03	2.6
TBC1D26	2.5	0.8	0	0.15	0.41	0.04	0
TBC1D28	0.68	0	0	0	0.01	0	0
TBC1D2B	5	5.46	4.65	4.58	3.51	5.42	4.07
TBC1D3	0	4.53	5.35	5.86	6.53	5.13	5.52
TBC1D30	3.8	4.11	1.02	2.95	1.79	1.65	1.58
TBC1D31	4.7	5.09	2.66	3.99	5.01	3.92	3.25
TBC1D32	4.41	4.02	1.96	3.79	3.59	2.74	2.08
TBC1D3B	2.48	2.87	2.49	4.25	3.46	0	0
TBC1D3C	0	0	0	0	0	0	0
TBC1D3D	0	0	0	0	0	0	0
TBC1D3E	0.41	1.12	0	0	0.81	0	0
TBC1D3F	5.99	5.95	6.12	6.84	6.73	6.2	5.39
TBC1D3G	7.3	5.47	5.58	6.45	7.39	4.9	4.71
TBC1D3H	0	0	0	0	0.06	0	0
TBC1D3I	5.97	5.17	0.33	0.15	4.16	2.43	0
TBC1D3K	0	0	0	0	0	0	3.09
TBC1D3L	0	0	0	0	0.06	5.15	0.19
TBC1D4	4.75	5.5	3.19	4.98	3.52	4.52	3.69
TBC1D5	4.35	4.86	4.42	4.65	5.38	4.99	3.88
TBC1D7	4.13	4.38	2.66	4.35	4.44	3.18	3.06
TBC1D8	4.89	5.42	4.05	4.75	4.81	5.29	3.18
TBC1D8B	3.58	2.35	2.64	2.19	4.33	3.43	2.37
TBC1D9	5.02	4.9	3.04	3.07	4.25	4.97	2.77
TBC1D9B	7.17	6.43	4.52	3.37	4.5	7.44	3.55
TBCA	6.89	7.44	8.24	9.51	9.7	6.51	7.05
TBCB	5.99	6.05	3.32	3.95	3.73	6.16	3.86
TBCC	4.94	3.76	0.9	2.28	2.07	3.23	2.04
TBCCD1	4.51	4.7	3.09	4.08	3.61	5.41	3.07
TBCD	5.94	6.55	3.99	5.15	5.95	6.16	4.35
TBCE	5.06	5.42	4.82	6.05	6.03	4.71	5.16
TBCEL	4.07	4.56	2.36	3.51	3.42	3.41	2.81
TBCEL-TECTA	1.32	1.19	0.65	0.84	1.18	0	0.21
TBCK	3.77	3.74	3.55	4.27	3.72	4.27	3.29
TBK1	6.52	6.68	4.96	4.81	5.32	5.88	3.73
TBKBP1	4.17	1.9	0.65	0.93	2.41	1.59	1.24
TBL1X	3.16	3.96	3.05	5.95	4.75	4.51	4.07
TBL1XR1	5.36	5.91	5.19	7.29	5.91	7.71	5.1
TBL1Y	0	0	0.3	0	0.93	0	0.07
TBL2	5.8	5.96	4.2	4.11	4.76	4.94	3.86
TBL3	4.83	4.62	1.92	2.4	2.46	5.04	2.56
TBP	4.64	5.5	3.74	5.47	6.79	3.69	3.09
TBPL1	2.32	3.05	2.22	3.66	4.61	3.4	1.73
TBPL2	1.3	0.82	0.16	0.06	0.83	0.14	0.01
TBR1	3.12	0.64	0.23	0.04	0.21	0.21	0.18
TBRG1	4.71	4.78	3.66	3.7	4	4.91	3.52
TBRG4	6.1	5.28	3.5	3.09	2.5	5.61	3.15
TBX1	4.07	1.32	0.84	0.85	3.63	2.61	0.4
TBX10	2.93	1.04	0.03	0.53	0.26	0.26	0.11
TBX15	3.88	1.53	1.07	1.93	0.79	3.03	0.48
TBX18	4.75	1.87	1.8	1.05	0.41	0.32	0.23
TBX19	3.49	2.16	0.99	1.4	1.1	2.59	0.92
TBX2	4.07	2.27	0.71	1.13	0.9	1.96	0.89
TBX20	5.59	2.12	1.55	0.29	1.26	1.48	2.2
TBX21	3.13	1.15	0.12	0.25	0.3	1.03	0.32
TBX22	3.62	0.77	0.37	0.03	1.33	0.14	0.12
TBX3	8.1	4.32	2.43	2.15	6.69	1.36	2.6
TBX4	3.17	0.96	0.3	0.06	0.42	1.26	0.04
TBX5	4.52	2.36	0.11	1.66	0.82	0.44	0.1
TBX6	2.89	2.27	1.49	0.68	0.58	2.47	0.33
TBXA2R	5.81	2.46	0.92	0.48	0.9	1.77	0.66
TBXAS1	4.34	4.04	4.29	4.26	4.15	4.83	4.2
TBXT	3.43	5.57	0.07	3.81	0.86	0.61	0.03
TC2N	2.8	1.66	5.59	4.56	7.42	2.24	3.97
TCAF1	7.02	4.12	4.63	3.85	5.35	5.59	4.05
TCAF2	4.97	2.5	2.73	2.1	2.44	4.1	3.01
TCAF2C	4.6	1.77	1.62	0	1.03	3.1	1.41
TCAIM	3.96	4.23	3.4	3.25	4.28	3.88	2.79
TCAP	3.79	2.65	0.31	0.23	0.19	1.7	0.16
TCEA1	6.56	6.62	5.24	5.65	6.68	7.04	5.98
TCEA2	5.07	5.06	2.78	1.61	3.39	4.75	1.77
TCEA3	5.46	4.14	3.08	0.93	5.63	4.51	3.15
TCEAL1	4.86	3.98	2.25	3.14	4.54	3.92	2.03
TCEAL2	3.43	1.5	0.51	1.08	2.34	0.14	0.26
TCEAL3	4.88	5.38	4.1	5.79	7.87	4.31	3.65
TCEAL4	5.9	5.17	5.91	7.53	9.88	4.69	5.56
TCEAL5	2.88	1.2	0.37	0.26	2.23	0.5	0.48
TCEAL6	3.34	0.51	0.11	0.03	1.77	0	0
TCEAL7	2.13	0.15	0.46	0.84	1.35	0.46	0.66
TCEAL8	4.91	4.57	2.28	3.81	4.54	5.38	2.06
TCEAL9	5.55	4.88	5.3	6.14	8.92	6.29	4.73
TCEANC	2.7	2.67	0.89	1.91	2.62	1.74	1.05
TCEANC2	3.48	3.15	1.36	2.33	1.84	2.12	0.98
TCERG1	7.26	8.6	6.09	7	7.1	6.66	5.24
TCERG1L	1.49	4.84	0.08	3.15	0.16	0	0
TCF12	7.03	8.1	5.92	9.03	6.37	6.2	5.67
TCF15	2.41	0.07	0.03	0.01	0.03	0.18	0.04
TCF19	5.25	6.44	1.42	2.6	3.42	4.08	1.64
TCF20	5.73	5.59	4.71	5.12	4.32	5.97	4.08
TCF21	3.08	1.2	0.55	0.04	0.74	0.58	1.52
TCF23	3.08	0.83	0.04	0.01	0.12	0.71	0.06
TCF24	1.37	0.49	0.08	0.1	0.04	0.06	0.08
TCF25	7.98	7.36	4.67	5.91	6.14	7.72	5.23
TCF3	6.49	5.32	2.8	2.63	2.72	6.02	1.67
TCF4	6.65	4.05	4.1	6.58	3.97	4.02	5.15
TCF7	5.5	4.89	2.06	2.32	2.89	5.28	2.13
TCF7L1	2.98	1.91	2.06	2.31	0.64	2.97	0.77
TCF7L2	6.65	5.48	5.44	4.14	4.94	6.46	5.03
TCFL5	3.27	3.23	1.42	1.6	2.61	2.72	2.04
TCHH	2.98	1.37	0.49	0.16	2.62	1.53	0.42
TCHHL1	3.17	1.19	0.21	0	1	1.12	0.08
TCHP	5.54	6.53	3.77	4.42	5.57	4.22	3.05
TCIM	1.65	1.13	1.99	2.98	4.04	5.27	1.69
TCIRG1	7.8	7.63	6.19	5.03	3.54	7.55	5.16
TCL1A	3.3	0.28	0.08	0.81	0.29	0	0.28
TCL1B	1.58	0.2	0	0	0.24	0	0
TCN1	2.3	1.67	8.15	0.43	1.13	4.14	1.26
TCN2	4.46	3.41	3.01	2.74	2.66	4.12	3.74
TCOF1	5.78	6.13	4.31	5.74	5.83	6.04	4.87
TCP1	6.92	6.49	5.44	6.85	7.96	6.64	5.4
TCP10L	2.69	1.27	0.77	0.58	1.88	0.74	0.19
TCP10L2	4.06	0.99	0.21	0	1.39	0.32	0.06
TCP11	3.35	0.36	0	0	0.46	0.84	0.39
